method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x;nbiter;pytimeit
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;9;0;0;0;0;1524964;32;100%;394100;1.25;104.26;0;0;4096;543;104.92;0;0;0;0;0;56;0;30;103.7678768679034
free_slots;batsim_out_jobs.csv;cebbabb56326;9;0;0;0;0;2549072;32;100%;662522;1.65;209.97;0;0;4096;900;211.03;0;0;0;0;0;51;0;30;209.65744910598733
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;10;0;0;0;0;1527040;32;100%;394505;1.34;103.17;0;0;4096;236;103.87;0;0;0;0;0;57;0;30;102.722901588073
free_slots;batsim_out_jobs.csv;cebbabb56326;10;0;0;0;0;2546068;32;100%;657409;1.68;204.72;0;0;4096;1010;205.80;0;0;0;0;0;44;0;30;204.437604309991
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;11;0;0;0;0;1525872;32;100%;394150;1.29;100.57;0;0;4096;651;101.22;0;0;0;0;0;47;0;30;100.0996161699295
free_slots;batsim_out_jobs.csv;cebbabb56326;11;0;0;0;0;2547676;32;100%;657798;1.85;213.37;0;0;4096;1340;214.60;0;0;0;0;0;49;0;30;213.2509350150358
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;12;0;0;0;0;1525356;32;100%;391012;1.20;104.91;0;0;4096;530;105.56;0;0;0;0;0;54;0;30;104.37697105715051
free_slots;batsim_out_jobs.csv;cebbabb56326;12;0;0;0;0;2546748;32;100%;657627;1.83;208.90;0;0;4096;825;210.12;0;0;0;0;0;59;0;30;208.71772701200098
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;13;0;0;0;0;1529592;32;100%;394218;1.26;106.93;0;0;4096;400;107.64;0;0;0;0;0;42;0;30;106.39846295677125
free_slots;batsim_out_jobs.csv;cebbabb56326;13;0;0;0;0;2547216;32;100%;657616;1.66;208.46;0;0;4096;217304;209.64;0;0;0;0;0;49;0;30;208.25048843794502
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;14;0;0;0;0;1527660;32;100%;392259;1.23;104.85;0;0;4096;399;105.45;0;0;0;0;0;51;0;30;104.2998908648733
free_slots;batsim_out_jobs.csv;cebbabb56326;14;0;0;0;0;2548944;32;100%;662184;1.79;218.29;0;0;4096;214267;219.51;0;0;0;0;0;49;0;30;218.160104354145
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;15;0;0;0;0;1529056;32;100%;394751;1.25;104.25;0;0;4096;615;104.88;0;0;0;0;0;47;0;30;103.73103667609394
free_slots;batsim_out_jobs.csv;cebbabb56326;15;0;0;0;0;2551340;32;100%;663234;1.69;210.92;0;0;4096;1076;211.99;0;0;0;0;0;51;0;30;210.63821719796397
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;16;0;0;0;0;1527788;32;100%;394923;1.36;107.24;0;0;4096;554;107.98;0;0;0;0;0;46;0;30;106.780406170059
free_slots;batsim_out_jobs.csv;cebbabb56326;16;0;0;0;0;2547748;32;100%;662256;1.58;206.38;0;0;4096;963;207.43;0;0;0;0;0;44;0;30;206.00484896986745
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;17;0;0;0;0;1528964;32;100%;393756;1.28;104.85;0;0;4096;710;105.51;0;0;0;0;0;46;0;30;104.37732717208564
free_slots;batsim_out_jobs.csv;cebbabb56326;17;0;0;0;0;2547184;32;100%;662171;1.80;214.39;0;0;4096;577;215.55;0;0;0;0;0;49;0;30;214.17517808894627
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;18;0;0;0;0;1531092;32;100%;392895;1.23;105.36;0;0;4096;933;106.01;0;0;0;0;0;43;0;30;104.81484346091747
free_slots;batsim_out_jobs.csv;cebbabb56326;18;0;0;0;0;2549592;32;100%;663357;1.72;209.46;0;0;4096;216695;210.61;0;0;0;0;0;48;0;30;209.2614794119727
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;19;0;0;0;0;1528844;32;100%;392697;1.18;104.47;0;0;4096;483;105.02;0;0;0;0;0;47;0;30;103.87356407288462
free_slots;batsim_out_jobs.csv;cebbabb56326;19;0;0;0;0;2547208;32;100%;662829;1.60;212.78;0;0;4096;215812;213.83;0;0;0;0;0;48;0;30;212.4746054620482
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;20;0;0;0;0;1526044;32;100%;390759;1.24;103.34;0;0;4096;632;103.96;0;0;0;0;0;54;0;30;102.81126534799114
free_slots;batsim_out_jobs.csv;cebbabb56326;20;0;0;0;0;2549428;32;100%;664294;1.78;213.15;0;0;4096;714;214.36;0;0;0;0;0;48;0;30;212.9376067800913
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;21;0;0;0;0;1528000;32;100%;394568;1.34;101.97;0;0;4096;490;102.67;0;0;0;0;0;50;0;30;101.54568357719108
