date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
2791.96,6,1594,276.691
2791.96,7,2179,296.922
2805.08,7,2179,283.8
2805.08,8,2604,302.279
2818.09,8,2604,289.273
2818.09,9,2679,292.534
2827.32,9,2679,283.301
2827.32,10,3264,308.736
2843.74,10,3264,292.314
2843.74,11,4072,326.362
2855.62,11,4072,314.484
2855.62,10,3528,277.205
2857.39,10,3528,275.434
2857.39,11,3682,282.13
2857.95,11,3682,281.571
2857.95,7,2776,256.99
2864.56,7,2776,250.381
2864.56,6,2632,246.299
2864.56,4,1622,210.39
2871.17,4,1622,203.781
2871.17,2,962,182.842
2872.97,2,962,181.041
2872.97,3,1396,207.479
2880.42,3,1396,200.023
2880.42,3,1396,196.371
2884.43,3,1396,192.587
2884.43,1,434,144.576
2889.16,1,434,139.843
2889.16,0,0,0
2889.23,0,0,0
2889.23,0,0,0
2892.68,0,0,0
2892.68,0,0,0
2899.29,0,0,0
2899.29,0,0,0
2901.28,0,0,0
2901.28,0,0,0
2910.35,0,0,0
2910.35,0,0,0
2910.75,0,0,0
2910.75,0,0,0
2914.1,0,0,0
2914.1,0,0,0
2923.9,0,0,0
2923.9,0,0,0
2933.15,0,0,0
2933.15,0,0,0
2939.94,0,0,0
2939.94,0,0,0
2943.48,0,0,0
2943.48,0,0,0
2944.59,0,0,0
2944.59,1,154,184.467
2946.69,1,154,182.37
2946.69,0,0,0
2947.98,0,0,0
2947.98,1,434,248.382
2949.58,1,434,246.781
2949.58,1,434,216.854
2972.17,1,434,194.266
2972.17,2,1019,246.844
2972.94,2,1019,246.072
2972.94,1,434,187.816
2988.17,1,434,172.584
2988.17,2,838,203.653
2998.06,2,838,193.767
2998.06,3,1094,215.1
2998.9,3,1094,214.259
2998.9,2,660,211.759
3000,2,660,176.992
3000,2,660,210.659
3022.34,2,660,188.318
3022.34,3,1572,254.21
3030.11,3,1572,246.436
3030.11,3,1572,235.572
3035.2,3,1572,231.215
3035.2,3,1572,226.538
3035.33,3,1572,226.43
3035.33,4,3364,333.406
3050.35,4,3364,320.538
3050.35,5,4172,358.308
3058.21,5,4172,351.466
3058.21,6,4980,386.596
3070.22,6,4980,376.153
3070.22,7,5256,387.712
3098.83,7,5256,362.54
3098.83,6,4852,330.548
3099.44,6,4852,329.966
3099.44,7,6644,402.881
3101.1,7,6644,401.283
3101.1,6,6388,426.008
3115.55,6,6388,412.093
3115.55,7,7000,434.76
3123.69,7,7000,426.923
3123.69,7,7000,426.314
3124.46,7,7000,425.657
3124.46,7,7000,425.251
3127.07,7,7000,423.222
3127.07,8,7075,426
3134.76,8,7075,420.017
3134.76,6,4371,362.054
3139.69,6,4371,357.123
3139.69,5,3563,344.721
3139.85,5,3563,344.564
3139.85,4,2755,316.564
3144.55,4,2755,311.865
3144.55,3,2680,303.752
3150.23,3,2680,298.07
3150.23,3,2680,299.649
3150.53,3,2680,299.383
3150.53,4,2834,308.81
3153.81,4,2834,305.923
3153.81,3,2680,302.037
3162.74,3,2680,294.175
3162.74,4,3265,328.307
